,,,Total PBRA Households Including People with Disabilities by Dot Size,,,,,,
Tract,CBSA Code,CBSA Name,1000 HH,500 HH,200 HH,100 HH,50 HH,20 HH,12 HH
01007010002,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01007010004,13820,"Birmingham-Hoover, AL",0,0,0,0,0,1,1
01009050101,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01009050102,13820,"Birmingham-Hoover, AL",0,0,1,1,2,3,6
01009050300,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01009050500,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01021060101,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01021060102,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,1
01021060402,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073000100,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073000300,13820,"Birmingham-Hoover, AL",0,0,0,1,1,4,5
01073000400,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073000500,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,1
01073000700,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073000800,13820,"Birmingham-Hoover, AL",0,0,0,0,1,1,2
01073001100,13820,"Birmingham-Hoover, AL",0,0,0,0,1,1,3
01073001200,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073001400,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073001500,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073001600,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073001902,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073002000,13820,"Birmingham-Hoover, AL",0,0,0,1,1,3,4
01073002100,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073002200,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073002303,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073002305,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0
01073002306,13820,"Birmingham-Hoover, AL",0,0,1,1,1,1,1
01073002400,13820,"Birmingham-Hoover, AL",0,0,0,0,0,2,3
