st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
39153520105,10420,"Akron, OH ",12.739141,10-19.9%,507.33862
39153503600,10420,"Akron, OH ",12.786885,10-19.9%,391.94022
39133600706,10420,"Akron, OH ",3.5522068,Below 10%,60
39133600403,10420,"Akron, OH ",9.0838509,Below 10%,154.93451
39153530401,10420,"Akron, OH ",7.0377851,Below 10%,88
39153502600,10420,"Akron, OH ",25.580645,20-29.9%,215.2
39133600102,10420,"Akron, OH ",4.6597633,Below 10%,75
39133601000,10420,"Akron, OH ",21.712662,20-29.9%,271.29999
39153531602,10420,"Akron, OH ",3.8601823,Below 10%,23
39133600602,10420,"Akron, OH ",18.158091,10-19.9%,110
39153532708,10420,"Akron, OH ",6.8311195,Below 10%,42.395889
39133601801,10420,"Akron, OH ",7.4683542,Below 10%,1.8563379
39153520104,10420,"Akron, OH ",11.568578,10-19.9%,722.59998
39153503500,10420,"Akron, OH ",18.629227,10-19.9%,298.79999
39153503100,10420,"Akron, OH ",47.013275,40% or higher,167
39153532001,10420,"Akron, OH ",10.443952,10-19.9%,95.890175
39153507203,10420,"Akron, OH ",4.6232085,Below 10%,111.99625
39133600402,10420,"Akron, OH ",4.3729787,Below 10%,355.97235
39153530502,10420,"Akron, OH ",3.9314516,Below 10%,114.13699
39133600401,10420,"Akron, OH ",13.910154,10-19.9%,280.06149
39153531405,10420,"Akron, OH ",5.0666666,Below 10%,277.59586
39153506600,10420,"Akron, OH ",38.583637,30-39.9%,653.20001
39153532702,10420,"Akron, OH ",5.1369896,Below 10%,279.42908
39153510200,10420,"Akron, OH ",8.8160086,Below 10%,160.52364
39153509000,10420,"Akron, OH ",38.882355,30-39.9%,243
39153531101,10420,"Akron, OH ",7.9150581,Below 10%,65.400002
39153532706,10420,"Akron, OH ",4.2962127,Below 10%,61.119999
39153530501,10420,"Akron, OH ",5.9497352,Below 10%,190.48761
39153530605,10420,"Akron, OH ",7.4388318,Below 10%,110
39153532703,10420,"Akron, OH ",3.2307243,Below 10%,29.223583
39153502800,10420,"Akron, OH ",14.989733,10-19.9%,174.39999
39153508000,10420,"Akron, OH ",11.329062,10-19.9%,693.81915
39153507201,10420,"Akron, OH ",3.1275387,Below 10%,105
39153531103,10420,"Akron, OH ",5.7605176,Below 10%,33.851711
39153507600,10420,"Akron, OH ",31.244898,30-39.9%,129.39999
39153531801,10420,"Akron, OH ",9.3490438,Below 10%,197.89999
39153532004,10420,"Akron, OH ",8.2164345,Below 10%,19.719774
39133601901,10420,"Akron, OH ",8.3204927,Below 10%,85.49929
39153506100,10420,"Akron, OH ",14.299063,10-19.9%,494.77286
39153507400,10420,"Akron, OH ",21.436113,20-29.9%,117.91863
39153510500,10420,"Akron, OH ",17.849955,10-19.9%,471.40482
39153533200,10420,"Akron, OH ",1.8444406,Below 10%,138
39153505400,10420,"Akron, OH ",15.109962,10-19.9%,299.79999
39153530104,10420,"Akron, OH ",5.6086211,Below 10%,342.64001
39153504200,10420,"Akron, OH ",41.739132,40% or higher,220.39999
39153503400,10420,"Akron, OH ",35.436138,30-39.9%,115.78018
39153508399,10420,"Akron, OH ",31.210957,30-39.9%,566.80591
39153510400,10420,"Akron, OH ",15.679715,10-19.9%,239.57465
39153520106,10420,"Akron, OH ",14.19488,10-19.9%,321.57608
39153508600,10420,"Akron, OH ",39.770199,30-39.9%,437.8045
39153520600,10420,"Akron, OH ",15.042253,10-19.9%,296.20001
39133600901,10420,"Akron, OH ",27.439369,20-29.9%,238.3
39153510302,10420,"Akron, OH ",8.4043608,Below 10%,171.68309
39153507202,10420,"Akron, OH ",7.4943438,Below 10%,269.90274
39153531102,10420,"Akron, OH ",8.8237362,Below 10%,82.16555
39153503300,10420,"Akron, OH ",33.585762,30-39.9%,458.39999
39153505200,10420,"Akron, OH ",32.754341,30-39.9%,45.400002
39153532999,10420,"Akron, OH ",6.5282893,Below 10%,177.98592
39153532502,10420,"Akron, OH ",5.7921104,Below 10%,38
39153520201,10420,"Akron, OH ",4.6419096,Below 10%,144.39473
39153507102,10420,"Akron, OH ",4.6025105,Below 10%,68.453033
39133601802,10420,"Akron, OH ",6.4397225,Below 10%,117.50571
39153530606,10420,"Akron, OH ",4.3758969,Below 10%,179
39153502700,10420,"Akron, OH ",12.050534,10-19.9%,376.60001
39153534000,10420,"Akron, OH ",6.2318363,Below 10%,35.928448
39133601702,10420,"Akron, OH ",5.9487181,Below 10%,217.37987
39153505800,10420,"Akron, OH ",27.734068,20-29.9%,551.79999
39153530901,10420,"Akron, OH ",10.388983,10-19.9%,339.47409
39153505700,10420,"Akron, OH ",23.752636,20-29.9%,287.39999
39153532705,10420,"Akron, OH ",7.1074886,Below 10%,53.581253
39133602100,10420,"Akron, OH ",4.2358327,Below 10%,133.43581
39153530903,10420,"Akron, OH ",3.9866457,Below 10%,2.5960026
39153530604,10420,"Akron, OH ",6.4392734,Below 10%,109
39153530105,10420,"Akron, OH ",13.633068,10-19.9%,245.39995
39153504100,10420,"Akron, OH ",32.896175,30-39.9%,255.60001
39153501800,10420,"Akron, OH ",26.574501,20-29.9%,41.599998
39153501700,10420,"Akron, OH ",54.805576,40% or higher,174.63321
39153520202,10420,"Akron, OH ",11.629899,10-19.9%,740.52826
39153533502,10420,"Akron, OH ",3.3359783,Below 10%,16.260857
39153506700,10420,"Akron, OH ",31.592039,30-39.9%,117.6
39153504700,10420,"Akron, OH ",12.220534,10-19.9%,189.88098
39133600902,10420,"Akron, OH ",14.32783,10-19.9%,427.10001
39153532600,10420,"Akron, OH ",3.7239692,Below 10%,156.66992
39133601502,10420,"Akron, OH ",50.639854,40% or higher,453.93561
39153506400,10420,"Akron, OH ",17.83989,10-19.9%,188.0661
39153531701,10420,"Akron, OH ",3.8186157,Below 10%,64.061111
39133601902,10420,"Akron, OH ",10.896297,10-19.9%,74
39153503701,10420,"Akron, OH ",9.184823,Below 10%,360.39999
39153510100,10420,"Akron, OH ",27.676538,20-29.9%,443.60001
39153530402,10420,"Akron, OH ",5.1713948,Below 10%,315
39153532701,10420,"Akron, OH ",2.6040368,Below 10%,158.3893
39153506500,10420,"Akron, OH ",34.355591,30-39.9%,263.1546
39153530108,10420,"Akron, OH ",2.7550783,Below 10%,304.25494
39133601600,10420,"Akron, OH ",12.079052,10-19.9%,142.05418
39153532902,10420,"Akron, OH ",9.853817,Below 10%,696.14532
39153530103,10420,"Akron, OH ",2.2824321,Below 10%,68.158684
39153502102,10420,"Akron, OH ",30.550285,30-39.9%,828.40002
39153501900,10420,"Akron, OH ",41.023338,40% or higher,681.40002
39153530101,10420,"Akron, OH ",3.0138991,Below 10%,53.896008
39153532003,10420,"Akron, OH ",6.1341324,Below 10%,32.190151
39153501100,10420,"Akron, OH ",49.781021,40% or higher,102.79893
39153533101,10420,"Akron, OH ",1.4196649,Below 10%,12.008604
39153506200,10420,"Akron, OH ",15.460244,10-19.9%,133.47614
39153504800,10420,"Akron, OH ",9.0346251,Below 10%,82.099998
39133601701,10420,"Akron, OH ",7.0923052,Below 10%,375.07309
39153505300,10420,"Akron, OH ",49.474537,40% or higher,323.16351
39153531002,10420,"Akron, OH ",10.198745,10-19.9%,55.200001
39153504600,10420,"Akron, OH ",29.003937,20-29.9%,366.97763
39153532301,10420,"Akron, OH ",2.2156084,Below 10%,0
39153506800,10420,"Akron, OH ",42.391304,40% or higher,424.36743
39133600200,10420,"Akron, OH ",7.9739776,Below 10%,160.69
39133600703,10420,"Akron, OH ",6.2697577,Below 10%,49.299999
39153532901,10420,"Akron, OH ",2.5073295,Below 10%,5.7246947
39133600704,10420,"Akron, OH ",5.1178451,Below 10%,24.381617
