st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
39133601600,10420,"Akron, OH ",142.05418,38.767807
39153503400,10420,"Akron, OH ",115.78018,28.517286
39153503600,10420,"Akron, OH ",391.94022,48.328018
39153531500,10420,"Akron, OH ",257.04425,35.21154
39153520103,10420,"Akron, OH ",276.39999,47.986111
39153505600,10420,"Akron, OH ",172.67775,81.336067
39133600602,10420,"Akron, OH ",110,52.63158
39153510301,10420,"Akron, OH ",1206.6,73.082977
39153502101,10420,"Akron, OH ",412.20001,69.161079
39133600401,10420,"Akron, OH ",280.06149,23.633881
39153531103,10420,"Akron, OH ",33.851711,28.209759
39133600200,10420,"Akron, OH ",160.69,40.681015
39153504600,10420,"Akron, OH ",366.97763,42.523479
39153503300,10420,"Akron, OH ",458.39999,36.967743
39133600902,10420,"Akron, OH ",427.10001,36.194916
39133601200,10420,"Akron, OH ",996,73.997025
39153510302,10420,"Akron, OH ",171.68309,40.206814
39133601801,10420,"Akron, OH ",1.8563379,0.57471764
39153505400,10420,"Akron, OH ",299.79999,37.56892
39133600102,10420,"Akron, OH ",75,57.692307
39133602000,10420,"Akron, OH ",53,25.48077
39153507102,10420,"Akron, OH ",68.453033,47.871658
39153530605,10420,"Akron, OH ",110,19.642857
39153505500,10420,"Akron, OH ",130.31746,24.789394
39153507101,10420,"Akron, OH ",536.5,65.5868
39153531802,10420,"Akron, OH ",301.71472,62.337753
39153531001,10420,"Akron, OH ",117.603,45.391743
39153507201,10420,"Akron, OH ",105,43.933056
39153510400,10420,"Akron, OH ",239.57465,47.337009
39153504400,10420,"Akron, OH ",95.800003,41.471863
39153502700,10420,"Akron, OH ",376.60001,39.89407
39153507203,10420,"Akron, OH ",111.99625,19.276463
39153520106,10420,"Akron, OH ",321.57608,28.340269
39133600703,10420,"Akron, OH ",49.299999,40.081299
39133601901,10420,"Akron, OH ",85.49929,49.421555
39153508800,10420,"Akron, OH ",457.60001,43.047977
39153530606,10420,"Akron, OH ",179,45.780052
39133601502,10420,"Akron, OH ",453.93561,49.50927
39133600901,10420,"Akron, OH ",238.3,40.874786
39153503200,10420,"Akron, OH ",139.39999,44.536739
39153509000,10420,"Akron, OH ",243,43.31551
39153504500,10420,"Akron, OH ",124.23761,30.081745
39153520500,10420,"Akron, OH ",218.8,45.488567
39153505700,10420,"Akron, OH ",287.39999,45.546749
39153502300,10420,"Akron, OH ",321.31601,33.631966
39153501800,10420,"Akron, OH ",41.599998,23.771427
39153530501,10420,"Akron, OH ",190.48761,26.716354
39153503100,10420,"Akron, OH ",167,40.240963
39153532600,10420,"Akron, OH ",156.66992,53.230148
39153504200,10420,"Akron, OH ",220.39999,47.296135
39153503701,10420,"Akron, OH ",360.39999,47.483532
39153532702,10420,"Akron, OH ",279.42908,75.393005
39153530104,10420,"Akron, OH ",342.64001,41.990196
39133600103,10420,"Akron, OH ",158.04678,33.988556
39153506800,10420,"Akron, OH ",424.36743,67.962372
39153508900,10420,"Akron, OH ",598.461,58.159473
39153531405,10420,"Akron, OH ",277.59586,41.71933
39153507600,10420,"Akron, OH ",129.39999,17.605442
39153504700,10420,"Akron, OH ",189.88098,26.118429
39153532703,10420,"Akron, OH ",29.223583,55.003445
39153502102,10420,"Akron, OH ",828.40002,48.558033
39153520400,10420,"Akron, OH ",246.92404,36.205872
39153508399,10420,"Akron, OH ",566.80591,38.822323
39153510200,10420,"Akron, OH ",160.52364,48.149864
39153507400,10420,"Akron, OH ",117.91863,57.242054
39133600302,10420,"Akron, OH ",118.04,47.983742
